시간,농도,위도,고도,경도
15:25:24,14.7,35.22856498,37.15218182,126.8422739
15:25:34,14.6,35.22856783,36.95727273,126.8422833
15:25:44,14.2,35.22856201,36.45163636,126.8422444
15:25:54,13.2,35.22855657,36.44854545,126.8422153
15:26:04,12,35.22853278,36.81854545,126.8422158
15:26:14,10.7,35.22851036,36.60527273,126.8422073
15:26:24,9.4,35.22851281,36.68218182,126.8421873
15:26:34,8.6,35.22852566,37.01218182,126.8421342
15:26:44,8.1,35.22858737,37.80872727,126.8421436
15:26:54,8.1,35.22859461,38.46054545,126.8421547
15:27:04,8.5,35.22858515,38.10581818,126.8422112
15:27:14,8.9,35.22856255,38.07709091,126.8422055
15:27:24,9.4,35.22853017,37.87672727,126.8421272
15:27:34,9.7,35.22852769,37.58981818,126.8421074
15:27:44,9.8,35.22850407,37.43763636,126.8421059
15:27:54,9.8,35.22850274,37.68909091,126.8421788
15:28:04,9.7,35.22860095,37.61654545,126.8422855
15:28:14,9.7,35.22864362,33.89890909,126.8423175
15:28:24,9.8,35.22916454,47.80381818,126.8425413
15:35:54,23.6,35.22932694,46.19309091,126.8426069
15:36:04,24.4,35.22935239,43.13763636,126.8426229
15:36:14,24.2,35.22933745,42.94145455,126.8426766
15:36:24,23,35.22932724,43.04763636,126.8427239
15:36:34,21.2,35.22937097,42.39727273,126.8427448
15:36:44,19.2,35.22952226,42.70763636,126.8426894
15:36:54,17.2,35.22949058,43.93981818,126.8424813
15:37:04,15.1,35.22939432,45.44581818,126.8423762
